,Player,Total
261,Nikola Jokić,4420
516,Russell Westbrook,3448
503,Nikola Vučević,3427
11,Giannis Antetokounmpo,3401
129,Luka Dončić,3391
115,Stephen Curry,3284
296,Damian Lillard,3273
420,Julius Randle,3181
178,Rudy Gobert,3139
443,Domantas Sabonis,3020
395,Chris Paul,2979
472,Jayson Tatum,2882
3,Bam Adebayo,2873
527,Zion Williamson,2838
90,Clint Capela,2834
37,Bradley Beal,2790
242,Kyrie Irving,2747
537,Trae Young,2739
342,Khris Middleton,2636
440,Terry Rozier,2609
495,Jonas Valančiūnas,2591
161,De'Aaron Fox,2573
21,Deandre Ayton,2569
83,Jimmy Butler,2557
145,Joel Embiid,2555
285,Zach LaVine,2536
292,Kawhi Leonard,2509
57,Devin Booker,2500
490,Karl-Anthony Towns,2468
223,Jrue Holiday,2466
123,DeMar DeRozan,2461
357,Dejounte Murray,2449
199,James Harden,2432
206,Tobias Harris,2423
241,Brandon Ingram,2408
73,Jaylen Brown,2407
521,Andrew Wiggins,2403
271,Enes Kanter,2302
185,Draymond Green,2292
172,Paul George,2287
454,Pascal Siakam,2274
409,Michael Porter Jr.,2271
64,Mikal Bridges,2271
140,Anthony Edwards,2270
456,Ben Simmons,2266
68,Malcolm Brogdon,2251
217,Buddy Hield,2245
226,Richaun Holmes,2233
385,Kelly Olynyk,2232
536,Thaddeus Young,2226
328,T.J. McConnell,2211
347,Donovan Mitchell,2208
104,John Collins,2208
10,Kyle Anderson,2206
250,LeBron James,2205
351,Ja Morant,2194
498,Fred VanVleet,2191
403,Jakob Poeltl,2180
8,Jarrett Allen,2167
451,Collin Sexton,2155
30,RJ Barrett,2122
414,Norman Powell,2054
58,Chris Boucher,2022
101,Jordan Clarkson,1994
110,Robert Covington,1988
511,P.J. Washington,1986
26,Lonzo Ball,1974
202,Montrezl Harrell,1967
471,Jae'Sean Tate,1966
327,CJ McCollum,1948
299,Brook Lopez,1931
517,Coby White,1906
194,Tyrese Haliburton,1897
535,Delon Wright,1894
65,Miles Bridges,1889
183,Jerami Grant,1878
358,Jamal Murray,1876
29,Harrison Barnes,1870
240,Joe Ingles,1867
25,LaMelo Ball,1866
205,Joe Harris,1845
233,Kevin Huerter,1842
402,Mason Plumlee,1842
448,Dennis Schröder,1828
441,Ricky Rubio,1819
