Player,Total
Precious Achiuwa,715
Jaylen Adams,3
Steven Adams,1594
Bam Adebayo,2873
LaMarcus Aldridge,702
Ty-Shon Alexander,26
Nickeil Alexander-Walker,991
Grayson Allen,1074
Jarrett Allen,2167
Al-Farouq Aminu,333
Kyle Anderson,2206
Giannis Antetokounmpo,3401
Kostas Antetokounmpo,28
Thanasis Antetokounmpo,458
Carmelo Anthony,1585
Cole Anthony,1150
OG Anunoby,1464
Ryan Arcidiacono,335
Trevor Ariza,714
D.J. Augustin,915
Deni Avdija,859
Deandre Ayton,2569
Udoka Azubuike,44
Dwayne Bacon,1223
Marvin Bagley III,1152
LaMelo Ball,1866
Lonzo Ball,1974
Mo Bamba,994
Desmond Bane,1289
Harrison Barnes,1870
RJ Barrett,2122
Will Barton,1420
Keita Bates-Diop,202
Nicolas Batum,1590
Aron Baynes,825
Kent Bazemore,1207
Darius Bazley,1257
Bradley Beal,2790
Malik Beasley,1162
Jordan Bell,75
DeAndre' Bembry,827
Dāvis Bertāns,1119
Patrick Beverley,751
Saddiq Bey,1571
Tyler Bey,40
Khem Birch,1498
Goga Bitadze,733
Bismack Biyombo,1183
Nemanja Bjelica,545
Eric Bledsoe,1710
Keljin Blevins,23
Bogdan Bogdanović,1445
Bojan Bogdanović,1793
Bol Bol,129
Marques Bolden,24
Jordan Bone,124
Isaac Bonga,233
Devin Booker,2500
Chris Boucher,2022
Brian Bowen,4
Avery Bradley,357
Tony Bradley,860
Jarrell Brantley,160
Ignas Brazdeikis,179
Mikal Bridges,2271
Miles Bridges,1889
Amida Brimah,39
Oshae Brissett,558
Malcolm Brogdon,2251
Armoni Brooks,404
Dillon Brooks,1817
Bruce Brown,1510
Charlie Brown,77
Jaylen Brown,2407
Moses Brown,1129
Sterling Brown,990
Troy Brown Jr.,362
Jalen Brunson,1656
Elijah Bryant,26
Thomas Bryant,306
Reggie Bullock,1401
Trey Burke,744
Alec Burks,1172
Jimmy Butler,2557
Bruno Caboclo,34
Devontae Cacok,110
Kentavious Caldwell-Pope,1368
Facundo Campazzo,1232
Vlatko Čančar,198
Devin Cannady,60
Clint Capela,2834
Vernon Carey Jr.,96
Jevon Carter,636
Wendell Carter Jr.,1511
Michael Carter-Williams,664
Alex Caruso,1044
Willie Cauley-Stein,870
Chris Chiozza,248
Marquese Chriss,32
Gary Clark,352
Brandon Clarke,1605
Jordan Clarkson,1994
Nicolas Claxton,696
Amir Coffey,247
John Collins,2208
Mike Conley,1813
Pat Connaughton,1288
Quinn Cook,137
Tyler Cook,329
DeMarcus Cousins,918
Robert Covington,1988
Torrey Craig,817
Jae Crowder,1397
Jarrett Culver,378
Seth Curry,1327
Stephen Curry,3284
Nate Darling,14
Anthony Davis,1581
Ed Davis,333
Terence Davis,1001
Gabriel Deck,203
Dewayne Dedmon,306
Matthew Dellavedova,166
DeMar DeRozan,2461
Mamadi Diakite,138
Hamidou Diallo,1179
Gorgui Dieng,666
Spencer Dinwiddie,51
Donte DiVincenzo,1735
Luka Dončić,3391
Luguentz Dort,1156
Damyean Dotson,563
Devon Dotson,62
Sekou Doumbouya,544
PJ Dozier,870
Goran Dragić,1227
Andre Drummond,1702
Jared Dudley,42
Kris Dunn,14
Kevin Durant,1735
Anthony Edwards,2270
Carsen Edwards,197
CJ Elleby,144
Henry Ellenson,37
Wayne Ellington,784
Joel Embiid,2555
James Ennis,777
Drew Eubanks,888
Dante Exum,73
Tacko Fall,196
Derrick Favors,1345
Cristiano Felício,79
Terrance Ferguson,-2
Bruno Fernando,136
Yogi Ferrell,148
Dorian Finney-Smith,1513
Malik Fitts,6
Malachi Flynn,804
Bryn Forbes,1037
Trent Forrest,241
Evan Fournier,1304
De'Aaron Fox,2573
Robert Franks,95
Tim Frazier,34
Markelle Fultz,203
Wenyen Gabriel,201
Daniel Gafford,1132
Danilo Gallinari,1157
Langston Galloway,317
Darius Garland,1718
Marc Gasol,981
Rudy Gay,1433
Paul George,2287
Taj Gibson,966
Harry Giles,358
Shai Gilgeous-Alexander,1453
Anthony Gill,213
Freddie Gillespie,370
Rudy Gobert,3139
Brandon Goodwin,453
Aaron Gordon,1345
Eric Gordon,695
Devonte' Graham,1613
Jerami Grant,1878
Danny Green,1733
Draymond Green,2292
JaMychal Green,1065
Javonte Green,379
Jeff Green,1466
Josh Green,290
Blake Griffin,1086
Kyle Guy,172
Rui Hachimura,1362
Ashton Hagans,-2
Tyrese Haliburton,1897
Donta Hall,229
Josh Hall,120
R.J. Hampton,713
Tim Hardaway Jr.,1782
James Harden,2432
Maurice Harkless,526
Jared Harper,-4
Montrezl Harrell,1967
Gary Harris,691
Jalen Harris,170
Joe Harris,1845
Tobias Harris,2423
Shaquille Harrison,217
Josh Hart,1185
Isaiah Hartenstein,730
Udonis Haslem,7
Jaxson Hayes,1091
Killian Hayes,467
Gordon Hayward,1622
Juan Hernangómez,724
Willy Hernangómez,1032
Tyler Herro,1481
Buddy Hield,2245
George Hill,548
Solomon Hill,856
Nate Hinton,82
Jaylen Hoard,275
Aaron Holiday,885
Jrue Holiday,2466
Justin Holiday,1680
Rondae Hollis-Jefferson,103
Richaun Holmes,2233
Rodney Hood,488
Al Horford,965
Talen Horton-Tucker,1234
Danuel House,655
Dwight Howard,1487
Markus Howard,137
Kevin Huerter,1842
Elijah Hughes,46
De'Andre Hunter,636
Chandler Hutchison,232
Serge Ibaka,1122
Andre Iguodala,1041
Ersan İlyasova,151
Joe Ingles,1867
Brandon Ingram,2408
Kyrie Irving,2747
Wesley Iwundu,244
Frank Jackson,581
Jaren Jackson Jr.,342
Josh Jackson,1444
Justin Jackson,433
Reggie Jackson,1433
Justin James,228
LeBron James,2205
Mike James,212
DaQuan Jeffries,332
Ty Jerome,736
Isaiah Joe,273
Alize Johnson,274
Cameron Johnson,1140
James Johnson,964
Keldon Johnson,1708
Stanley Johnson,778
Tyler Johnson,415
Nikola Jokić,4420
Damian Jones,528
Derrick Jones Jr.,1073
Mason Jones,269
Tre Jones,204
Tyus Jones,1289
DeAndre Jordan,1399
Cory Joseph,1298
Mfiondu Kabengele,241
Frank Kaminsky,765
Enes Kanter,2302
Luke Kennard,1011
Louis King,121
Maxi Kleber,1013
Nathan Knight,254
Kevin Knox,310
John Konchar,577
Furkan Korkmaz,930
Luke Kornet,364
Rodions Kurucs,100
Kyle Kuzma,1751
Anthony Lamb,276
Jeremy Lamb,821
Romeo Langford,138
Zach LaVine,2536
Jake Layman,517
T.J. Leaf,27
Jalen Lecque,9
Damion Lee,900
Saben Lee,770
Alex Len,1114
Kawhi Leonard,2509
Meyers Leonard,18
Caris LeVert,1819
Kira Lewis Jr.,753
Damian Lillard,3273
Nassir Little,470
Kevon Looney,1032
Brook Lopez,1931
Robin Lopez,1331
Didi Louzada,15
Kevin Love,632
Kyle Lowry,1768
Timothé Luwawu-Cabarrot,706
Trey Lyles,256
Will Magnay,-3
Thon Maker,83
Théo Maledon,1243
Karim Mané,29
Terance Mann,1094
Nico Mannion,302
Boban Marjanović,355
Lauri Markkanen,1230
Naji Marshall,615
Caleb Martin,644
Cody Martin,684
Jeremiah Martin,39
Kelan Martin,344
Kenyon Martin Jr.,1055
Frank Mason III,48
Garrison Mathews,655
Dakota Mathias,90
Wesley Matthews,654
Tyrese Maxey,906
Skylar Mays,276
Patrick McCaw,26
CJ McCollum,1948
T.J. McConnell,2211
Jaden McDaniels,1154
Jalen McDaniels,762
Doug McDermott,1484
Sean McDermott,82
JaVale McGee,891
Rodney McGruder,188
Alfonzo McKinnie,239
Jordan McLaughlin,881
Ben McLemore,631
Nicolò Melli,385
De'Anthony Melton,1187
Sam Merrill,196
Chimezie Metu,499
Khris Middleton,2636
Darius Miller,210
Patty Mills,1289
Paul Millsap,1285
Shake Milton,1380
Donovan Mitchell,2208
Adam Mokoka,28
Malik Monk,780
E'Twaun Moore,304
Ja Morant,2194
Juwan Morgan,100
Marcus Morris,1324
Markieff Morris,902
Monte Morris,1029
Mychal Mulder,571
Dejounte Murray,2449
Jamal Murray,1876
Mike Muscala,616
Sviatoslav Mykhailiuk,1045
Abdel Nader,312
Larry Nance Jr.,1038
Aaron Nesmith,481
Raul Neto,1268
Georges Niang,924
Zeke Nnaji,286
Nerlens Noel,1711
Jaylen Nowell,686
Frank Ntilikina,222
Kendrick Nunn,1514
James Nunnally,28
Jusuf Nurkić,1232
David Nwaba,656
Jordan Nwora,309
Royce O'Neale,1677
Semi Ojeleye,545
Jahlil Okafor,281
Chuma Okeke,963
Josh Okogie,857
Onyeka Okongwu,677
Isaac Okoro,1278
KZ Okpala,254
Victor Oladipo,1138
Cameron Oliver,103
Kelly Olynyk,2232
Miye Oni,312
Cedi Osman,1220
Daniel Oturu,159
Kelly Oubre Jr.,1610
Jabari Parker,154
Eric Paschall,618
Anžejs Pasečņiks,-7
Patrick Patterson,430
Justin Patton,253
Chris Paul,2979
Cameron Payne,1241
Elfrid Payton,1253
Gary Payton II,74
Norvel Pelle,82
Reggie Perry,211
Theo Pinson,0
Mason Plumlee,1842
Jakob Poeltl,2180
Vincent Poirier,26
Aleksej Pokusevski,770
Jordan Poole,974
Jontay Porter,46
Kevin Porter Jr.,774
Michael Porter Jr.,2271
